Identifier ,Schema Name/Title,Creator(s)/Curator(s),Maintenance organization,"Place: Publisher, date.",Summary / Abstract ,Format(s) ,Language,Physical Location,Online Location ,Earlier versions (editions) …,History of versioning:,Version Notes: ,Last Updated: ,Number of terms in system,Phenomena included,Disciplines included,Direct domains included,Related to: ,BARTOC Link,ICC Classification ,NARCIS Classification ,KOS Types Vocabulary
KOS.SSH.13.2,Documenting Your Collections; Info-Muse Network documentation system ,Michel Perron,Société des musées québécois,www.smq.qc.ca © Société des musées du Québec,"The Info-Muse Network documentation system is based on museum practices in Quebec and elsewhere in Canada. It was developed in close collaboration with various bodies and museums in Quebec and the rest of Canada, and with many experts from the different scientific validation committees for the tools designed by the Network. The standards proposed by the Canadian Heritage Information Network (CHIN) since the 1970s served as the starting point for developing the system, meaning that it is in line with the main national and international standards for documenting museum collections.",Online ,en,n/a ,http://www.musees.qc.ca/fr/professionnel/guidesel/doccoll/en/home.htm,1st Edition (1992) ,Version 1.0 ,"The Info-Muse classification system for ethnology, history and historical archaeology museums is largely based on the classification system for Parks Canada Service collections,1 itself based in part on The Revised Nomenclature for Museum Cataloging.2 This system is the fruit of collaboration between Parks Canada, the Musée de la civilisation and the Société des musées québécois. The definitions of terms are drawn mainly from the Parks Canada document.",2005-11-21,n/a,n/a,Archaeology; Natural Sciences; Ethonology; History; Fine Arts; Decorative Arts; Science; Technology.,Archaeology; Natural Sciences; Ethonology; History; Fine Arts; Decorative Arts; Science; Technology.,Chenhall Nomenclature for classifying cultural objects,n/a,"048-9;
048-69","D34000;
D35000",Classification scheme
KOS.SSH.13.3,"Le guide de documentation du Réseau Info-Muse; 
Info-Muse Network documentation system ",Michel Perron,Société des musées québécois,www.smq.qc.ca © Société des musées du Québec,"The Info-Muse Network documentation system is based on museum practices in Quebec and elsewhere in Canada. It was developed in close collaboration with various bodies and museums in Quebec and the rest of Canada, and with many experts from the different scientific validation committees for the tools designed by the Network. The standards proposed by the Canadian Heritage Information Network (CHIN) since the 1970s served as the starting point for developing the system, meaning that it is in line with the main national and international standards for documenting museum collections.",Online ,fr,n/a ,http://www.musees.qc.ca/bundles/professionnel/guidesel/doccoll/fr/accueil.htm,1st Edition (1992) ,Version 1.3,"The Info-Muse classification system for ethnology, history and historical archaeology museums is largely based on the classification system for Parks Canada Service collections,1 itself based in part on The Revised Nomenclature for Museum Cataloging.2 This system is the fruit of collaboration between Parks Canada, the Musée de la civilisation and the Société des musées québécois. The definitions of terms are drawn mainly from the Parks Canada document.",2005-11-21,n/a,n/a ,Archaeology; Natural Sciences; Ethonology; History; Fine Arts; Decorative Arts; Science; Technology.,Archaeology; Natural Sciences; Ethonology; History; Fine Arts; Decorative Arts; Science; Technology.,Chenhall Nomenclature for classifying cultural objects,n/a,"048-9;
048-69","D34000;
D35000",Classification scheme
KOS.SSH.14,Canadian Heritage Information Network's Humanities Data Dictionary,n/a,"Canadian Heritage Information Network; 
Government of Canada",canada.ca ,"The Canadian Heritage Information Network's Humanities Data Dictionary consists of 654 fields for collections in history, ethnology, archaeological specimens, and fine and decorative arts.",Online ,en,n/a ,https://app.pch.gc.ca/application/ddrcip-chindd/description_sh-about_hs.app?lang=en&dd=sh-hs,n/a,Complete CHIN Humanities Data Dictionary,"Complete CHIN Humanities Data Dictionary (all 654 fields). 
This version contains ALL the Humanities fields. It includes all fields that museums can use internally for collections management (conservation fields, insurance fields, etc.) as well as fields for public display.",2013-11-06,656,n/a ,history; ethnology; archaeological specimens;  fine arts; decorative arts.,history; ethnology; archaeological specimens;  fine arts; decorative arts.,CCO; AAT.,n/a,"048-9;
048-69",D30000,Classification scheme
KOS.SSH.14.1,Canadian Heritage Information Network's Humanities Data Dictionary,n/a,"Canadian Heritage Information Network; 
Government of Canada",canada.ca ,"The Canadian Heritage Information Network's Humanities Data Dictionary consists of 654 fields for collections in history, ethnology, archaeological specimens, and fine and decorative arts.",Online ,fr,n/a ,https://app.pch.gc.ca/application/ddrcip-chindd/description_sh-about_hs.app?lang=fr&dd=sh-hs,n/a,Complete CHIN Humanities Data Dictionary,"Complete CHIN Humanities Data Dictionary (all 654 fields). 
This version contains ALL the Humanities fields. It includes all fields that museums can use internally for collections management (conservation fields, insurance fields, etc.) as well as fields for public display.",2013-11-06,656,n/a ,history; ethnology; archaeological specimens;  fine arts; decorative arts.,history; ethnology; archaeological specimens;  fine arts; decorative arts.,CCO; AAT.,n/a,"048-9;
048-69",D30000,Classification scheme
KOS.SSH.14.2,Canadian Heritage Information Network's Humanities Data Dictionary,n/a,"Canadian Heritage Information Network; 
Government of Canada",canada.ca ,"The Canadian Heritage Information Network's Humanities Data Dictionary consists of 654 fields for collections in history, ethnology, archaeological specimens, and fine and decorative arts.",Online ,en,n/a ,https://app.pch.gc.ca/application/ddrcip-chindd/recherche-search.app?lang=en&dd=sh-hs&pID=1&ac=true&rac=false,n/a,Artefacts Canada Humanities Data Dictionary,"Artefacts Canada Humanities Data Dictionary (subset of 143 fields). 
This version contains only those fields that can be used for public display. Only fields that can be uploaded to Artefacts Canada are included. (Note: clicking on this link will take you to another application).",2013-11-06,143,n/a ,history; ethnology; archaeological specimens;  fine arts; decorative arts.,history; ethnology; archaeological specimens;  fine arts; decorative arts.,CCO; AAT.,n/a,"048-9;
048-69",D30000,Classification scheme
KOS.SSH.14.3,Canadian Heritage Information Network's Humanities Data Dictionary,n/a,"Canadian Heritage Information Network; 
Government of Canada",canada.ca ,"The Canadian Heritage Information Network's Humanities Data Dictionary consists of 654 fields for collections in history, ethnology, archaeological specimens, and fine and decorative arts.",Online ,fr,n/a ,https://app.pch.gc.ca/application/ddrcip-chindd/recherche-search.app?lang=fr&qlang=fr&dd=sh-hs&pID=1&ac=true&rac=false,n/a,Artefacts Canada Humanities Data Dictionary,"Artefacts Canada Humanities Data Dictionary (subset of 143 fields). 
This version contains only those fields that can be used for public display. Only fields that can be uploaded to Artefacts Canada are included. (Note: clicking on this link will take you to another application).",2013-11-06,143,n/a ,history; ethnology; archaeological specimens;  fine arts; decorative arts.,history; ethnology; archaeological specimens;  fine arts; decorative arts.,CCO; AAT.,n/a,"048-9;
048-69",D30000,Classification scheme
KOS.SSH.14.4,Canadian Heritage Information Network's Humanities Data Dictionary,n/a,"Canadian Heritage Information Network; 
Government of Canada",canada.ca ,"The Canadian Heritage Information Network's Humanities Data Dictionary consists of 654 fields for collections in history, ethnology, archaeological specimens, and fine and decorative arts.",Online ,en,n/a ,https://app.pch.gc.ca/application/ddrcip-chindd/recherche-search.app?lang=en&dd=sh-hs&pID=1&ac=false&rac=true,n/a,Required and Recommended Fields for Artefacts Canada Contribution,"Required and Recommended Fields for Artefacts Canada Contribution (subset of 49 fields). 
This version contains only those fields that are required or highly recommended for Artefacts Canada contribution. (Note: clicking on this link will take you to another application).",2013-11-06,49,n/a ,history; ethnology; archaeological specimens;  fine arts; decorative arts.,history; ethnology; archaeological specimens;  fine arts; decorative arts.,CCO; AAT.,n/a,"048-9;
048-69",D30000,Classification scheme
KOS.SSH.14.5,Canadian Heritage Information Network's Humanities Data Dictionary,n/a,"Canadian Heritage Information Network; 
Government of Canada",canada.ca ,"The Canadian Heritage Information Network's Humanities Data Dictionary consists of 654 fields for collections in history, ethnology, archaeological specimens, and fine and decorative arts.",Online ,fr,n/a ,https://app.pch.gc.ca/application/ddrcip-chindd/recherche-search.app?lang=fr&qlang=fr&dd=sh-hs&pID=1&ac=false&rac=true,n/a,Required and Recommended Fields for Artefacts Canada Contribution,"Required and Recommended Fields for Artefacts Canada Contribution (subset of 49 fields). 
This version contains only those fields that are required or highly recommended for Artefacts Canada contribution. (Note: clicking on this link will take you to another application).",2013-11-06,49,n/a ,history; ethnology; archaeological specimens;  fine arts; decorative arts.,history; ethnology; archaeological specimens;  fine arts; decorative arts.,CCO; AAT.,n/a,"048-9;
048-69",D30000,Classification scheme
KOS.SSH.15,Artists in Canada (CHIN); Artistes au Canada.,n/a,"Canadian Heritage Information Network; 
Government of Canada","[Hull, Quebec : Canadian Heritage Information Network, 199?-]",The Artists in Canada database identifies the location of documentation files on Canadian artists. Libraries and galleries across Canadian have contributed biographical information and lists of their holdings to create this union list.,Online; Continually Updated Resource; Computer File. ,en; fr ,n/a ,n/a ,n/a,1990 - ?,Also available in French under title: Artistes au Canada.,1990s,n/a,n/a ,"Art, Architecture",Art; Architecture,n/a,n/a,036-9,D35000,Name authority list 
KOS.SSH.15.1,Artists in Canada (CHIN); Artistes au Canada.,Colin S MacDonald.,"Canadian Heritage Information Network; 
Government of Canada",Ottawa : CHIN,The Artists in Canada database identifies the location of documentation files on Canadian artists. Libraries and galleries across Canadian have contributed biographical information and lists of their holdings to create this union list.,Online; Continually Updated Resource; Computer File. ,en; fr ,n/a ,n/a ,1990 - 2000?,2000? -2008,Also available in French under title: Artistes au Canada.,2000s,,n/a ,"Art, Architecture",Art; Architecture,n/a,n/a,036-9,D35000,Name authority list 
KOS.SSH.15.2,Artists in Canada (CHIN); Artistes au Canada.,n/a,"Canadian Heritage Information Network; 
Government of Canada","Ottawa] : CHIN, ©2008-",The Artists in Canada database identifies the location of documentation files on Canadian artists. Libraries and galleries across Canadian have contributed biographical information and lists of their holdings to create this union list.,Online; Continually Updated Resource; Computer File. ,ml ,n/a ,https://app.pch.gc.ca/application/aac-aic/recherche_base-search_basic.app?lang=en,2000? -2008,Current Version ,"""Version 2.0"" ",2008,"56,585 entries","The term ""artist"" is interpreted broadly in the visual arts field to include artisans along with painters, sculptors, printmakers, architects, and others. An artist ""in Canada"" denotes an artist born in Canada or an artist born elsewhere who has worked in Canada.","Art, Architecture",Art; Architecture,n/a,n/a,036-9,D35000,Name authority list 
KOS.SSH.16,"Descriptive and visual dictionary of objects : based on the Parks Canada classification system for historical collections; 
Dictionnaire descriptif et visuel d'objets; 
Parks Canada Descriptive and Visual Dictionary of Objects (Parks DVD)",Louise Bernard; Leslie-Ann Chang;,Parks Canada.,"Ottawa : Canadian Heritage, Parks Canada, 1997-","The Descriptive and Visual Dictionary of Objects is a bilingual museum classification system and vocabulary standard used in Canada for humanities collections. It helps museums cataloguing collections to identify, name, and classify objects using definitions and illustrations. This classification system is based on an object's original function (the purpose for which the object was created).",Print Book.,en; fr ,n/a ,n/a,n/a,n/a,Publié aussi en français sous le titre: Dictionnaire descriptif et visuel d'objets : présenté selon le Système de classification des collections historiques de Parcs Canada.,n/a,n/a,n/a,n/a,n/a,Info-Muse; Chenhall Nomenclature for classifying cultural objects.,n/a,n/a ,D35000,Classification scheme
KOS.SSH.16.1,"Descriptive and visual dictionary of objects : based on the Parks Canada classification system for historical collections; 
Dictionnaire descriptif et visuel d'objets; 
Parks Canada Descriptive and Visual Dictionary of Objects (Parks DVD)","Editorial Committee: Louise Bernard, Rosemary Campbell, Leslie-Ann Chang, Marc Duhaime, Paul-Aimé Lacroix, Diane LeBrun, Renée Martel, Timothy Mellin, Anna Nieminen, Miriam Pearse, Raymond Pepermans, Lenka Podzimek, Adèle St-Pierre, Gynette Tremblay and Jean-Luc Vincent. 

With the participation of: Myrna Andrew, Angèle Aubin, Pierre Auger, Nicole Barge, Monique Barrette, Carlos Bazan, Robert Beevaj, Heather B. Belhumeur, Stacey Bennett, Gaston Bergeron, Yves Bergeron, Anne Bérubé, Élaine Bouchard, Charles Bradley, Annie Brisset, Gail Cariou, Nadia Chaboa, Élaine Charron, Isabelle Clerc, Rosemary Covert, Derek Cooke, Elizabeth Crook, Simon Courcy, Paul-André Cyr, Hélène D'Amours, Micheline Daigle, Stephen Davis, François Miville-Deschênes, Anne-Marie Desdouits, Valérie Desmeules, Donna Desprey, Leslie Dodds, Brigitte Donvez, Élise Dubuc, Sylvie Dumesnil, Phil Dunning, Jean-Claude Dupont, Danielle Duval, Ahmed Elkhamloussy, Monica Fehlner, Yvan Fortier, Ruby Fougère, Jasmine Fréchette, Lucie Gagnon, Terrence Gartland, Julie Gauvin, Geraldine Getchell, Marie-Claude Giroux, André Gousse, Yves Goyette, Gérard Gusset, Dany Hamel, Irma Hebert, Patricia Houle, Holly Hunter, Dave Jenkins, Annette Jennen, Olive R. Jones, Nancy Lafontaine, Normand Lafrenière, Sue Lambeth, Caroline Lanthier, Luc Lapointe, Esther Lartey, Yvon Legendre, Virginia Lockett, Stephen Lohnes, David Lowe, Armelle Mongé, Jennifer Marcoux, Julie Marcoux, Jennefer McAlleer, Ruth Mills, Kristen Mackintosh, Diane Michaud, Éric Morin, François Morrisette, Gilles Paré, Madeleine Pastinelli, Miriam Pearse, Audra Poirier, Hélène Quimper, de Isabelle Richard, Nadia Ringuet, Sylvie Robitaille, Jacqueline Roy, Lucie Roy, Margo Magee Sackett, Marie-Géraldy Seide, Céline St-Pierre, Catherine Sullivan, Sue Surgeson, Lynn Sussman, Hélène Tardif, Allyson Tolley, Jacques Toussaint, Louis-Claude Tremblay, Robert Vézina, Malcolm Williams and Adrienne Yuen. 

And with the collaboration of: Sonia Adolphe, Myrna Andrew, Jean Audet, Béatrice Baffert, Jeannot Bélanger, Jean-Claude Boulanger, Jennifer Brooker, Tim Campbell, Claudia Chauvet, Debbie Cochrane, Tiphaine Crenn, Réal D'Amours, Pierre Demers, Leslie Dobbs, Normand Dubé, Patrick Duffley, Maurice Dufour, Jean-Marie T. Du Sault, Jean Etcheverry, Catriona Fagan, Alaric Faulkner, Chris Frost, Julie Gagnon, Julia Gdowski, Kim Goodman, Solange Harvey, Patricia Houle, Robert Innes, Clémence Jacob-Bernard, Ellen Justynski, Frank Klingender, François Latulippe, Richard Latulippe, Joel Laurier, Paul-André Leclerc, Lynne Leslie, Dorothea Larsen, Valerie Lister, Nancy McCarthy, Noémie Morisset, Magella Paradis, Dale Pegg, Viateur Perreault, Gisèle Piédalue Carol Pillar, Hélène Porter, John R. Porter, Michel Thomas Poulin, Danielle Roy, Nicole Royer, Denis Tremblay, Genny Tremblay and Daniel Vallée.",Parks Canada; Government of Canada.,canada.ca ,"The Descriptive and Visual Dictionary of Objects is a bilingual museum classification system and vocabulary standard used in Canada for humanities collections. It helps museums cataloguing collections to identify, name, and classify objects using definitions and illustrations. This classification system is based on an object's original function (the purpose for which the object was created).",Online; Web Application. ,"en; fr;
french version: https://app.pch.gc.ca/application/dvp-pvd/appli/descr-fra.php ",n/a ,https://app.pch.gc.ca/application/dvp-pvd/appli/descr-eng.php,Print Book 1997 ,Current Version ,"The Parks Canada Descriptive and Visual Dictionary of Objects (Parks DVD web application) is no longer being updated by Parks Canada; this application will be decommissioned in 2019. However, the Parks DVD has been harmonized with Nomenclature 4.0, and the new combined standard will be available in 2018. For more information, see the notice about the Nomenclature for Museum Cataloging web application.",n/a,n/a,A Scientific Tool Serving Collections Management And Research,Cultural heritage.,n/a,Info-Muse; Chenhall Nomenclature for classifying cultural objects.,n/a,n/a ,D35000,Classification scheme
KOS.SSH.17,HISCO : Historical International Standard Classification of Occupations,Marco H D van Leeuwen; Sören Edvinsson; Ineke Maas; Andrew Miles,International Institute for Social History,"Leuven : Leuven U.P., 2002.",A classification scheme for occupational titles in the 19th and early 20th centuries.,Print book.,nl (ml?) ,KOS.17!A1,n/a,Online? ,n/a,Dutch Version ,n/a,n/a,"Contains occupational titles and descriptions of agricultural, industrial and commercial activities, of old and new technologies, and of traditional and modern forms of organization.",n/a,n/a,n/a,n/a,031-572,D70100,Glossary 
KOS.SSH.17.1,HISCO : Historical International Standard Classification of Occupations,Marco H D van Leeuwen; Ineke Maas; Andrew Miles,International Institute for Social History,"Leuven : Leuven Univ. Press, 2002.",A classification scheme for occupational titles in the 19th and early 20th centuries.,Print book.,en,KOS.17!A3:A11,n/a,Online? ,n/a,English Version ,n/a,n/a,"Contains occupational titles and descriptions of agricultural, industrial and commercial activities, of old and new technologies, and of traditional and modern forms of organization.",n/a,n/a,n/a,n/a,031-572,D70100,Glossary 
KOS.SSH.17.2,HISCO : Historical International Standard Classification of Occupations,Marco H D van Leeuwen; Ineke Maas; Andrew Miles,International Institute for Social History,International Institute for Social History,A classification scheme for occupational titles in the 19th and early 20th centuries.,Online ,ml ,n/a,http://historyofwork.iisg.nl/search.php,Print Book? ,Current Version ,Online Version ,n/a,"HISCO has a tree-like structure with 9 'major' groups, 76 'minor' groups, 296 'unit' groups and 1675 'micro' groups.
The 'leaves' of the tree are formed by the ten-thousands of occupational titles that fall under these 1675 groups.","Contains occupational titles and descriptions of agricultural, industrial and commercial activities, of old and new technologies, and of traditional and modern forms of organization.",n/a,n/a,n/a,n/a,031-572,D70100,Glossary 
KOS.SSH.18,Getty Thesaurus of Geographic Names (TGN) ,Eleanor Fink,Vocabulary Coordination Group,"[Los Angeles] : The Institute, [1997-","The Getty Thesaurus of Geographic Names (TGN) is a structured vocabulary developed primarily for the field of art history, but with the potential for wide applications in related disciplines such as archeology, history and geography ... The TGN is the only available geographical resource that is both hierarchical and global in scope ... The TGN contains nearly 1 million place names representing approximately 900,000 places",Machine Readable Files. ,en (ml?),n/a (See Version Notes),n/a,n/a,Machine Readable File Version,"TGN was first published in 1997 in machine-readable files. Given the growing size and frequency of changes and additions to the TGN, hard-copy publication was deemed to be impractical.",n/a,n/a,"TGN includes information for both modern places and historical places, for both extant and lost places. As a thesaurus, TGN has the following three relationships: equivalence (synonyms), hierarchical (whole/part), and associative (various types of other relationships).",Geography. ,Geography. ,AAT; ULAN. ,http://bartoc.org/en/node/109,048-39,D15700,Thesaurus
KOS.SSH.18.1,Getty Thesaurus of Geographic Names (TGN) ,"Currently, Patricia Harpring is Managing Editor of the Getty Vocabulary Program, reporting to Lily Pregill, Head of Getty Research Institute Information Systems and Institutional Metadata. 

Editors are Jonathan Ward, Robin Johnson, and Antonio Beecroft. 

The technical team is led by Joan Cobb, IT Project Manager Specialist, and Gregg Garcia, Software Architect.",The J. Paul Getty Trust,The J. Paul Getty Trust,"The Getty Thesaurus of Geographic Names (TGN) is a structured vocabulary developed primarily for the field of art history, but with the potential for wide applications in related disciplines such as archeology, history and geography ... The TGN is the only available geographical resource that is both hierarchical and global in scope ... The TGN contains nearly 1 million place names representing approximately 900,000 places",Online; Web Application. ,ml ,n/a (See Version Notes),http://www.getty.edu/research/tools/vocabularies/tgn/index.html,Machine Readable File Version,Online Version ,It is currently published in both a searchable online Web interface and in data files available for licensing.,n/a,n/a,"TGN includes information for both modern places and historical places, for both extant and lost places. As a thesaurus, TGN has the following three relationships: equivalence (synonyms), hierarchical (whole/part), and associative (various types of other relationships).",Geography. ,Geography. ,AAT; ULAN. ,http://bartoc.org/en/node/109,048-39,D15700,Thesaurus
KOS.SSH.19,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,n/a,n/a,Version 1,n/a,June 2002,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,D31000,n/a
KOS.SSH.19.1,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,n/a,Version 1,Version 2.0,n/a,n/a,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.2,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 2.0,Version 3.0 ,n/a,n/a,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.3,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 3.0 ,Version 3.1,n/a,n/a,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.4,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 3.1,Version 3.2,n/a,n/a,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.5,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 3.2,Version 3.3,n/a,n/a,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.6,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 3.3,Version 3.4,n/a,n/a,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.7,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 3.4,Version 3.5,n/a,n/a,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.8,Metadata Object Description Schema (MODS),n/a,Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 3.5,Version 3.6,n/a,May 2015,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,,n/a
KOS.SSH.19.9,Metadata Object Description Schema (MODS),"Melanie Wacker; Jan Ashton; Ann Caldwell; Ray Denenberg; Angela Di Iorio; Rebecca Guenther; Myung-Ja ""MJ"" Han; Sally McCallum; Tracy Meehleib; Stefanie Rühle; Robin Wendler. ",Library of Congress ,Library of Congress ,"Metadata Object Description Schema (MODS) is a schema for a bibliographic element set that may be used for a variety of purposes, and particularly for library applications.",Online,en,n/a,https://www.loc.gov/standards/mods/mods-schemas.html,Version 3.6,Version 3.7,n/a,January 2018,n/a,"Bibliographic element sets that may be used for a variety of purposes, and particularly for library applications.",Computer science; Information Science. ,Computer science; Information Science. ,MARC Standards.,n/a,n/a,D31000,n/a
KOS.SSH.20,Describing Archives: A Content Standard (DACS),Steven L Hensen,Society of American Archivists.,"Chicago, IL : Society of American Archivists, [2004] ©2004","Facilitates consistent, appropriate, and self-explanatory description of archival materials and creators of archival materials.",Print Book; Computer File.,en,KOS.20!A1:A2,n/a,n/a,1st Edition,"DACS replaced Archives, Personal Papers, and Manuscripts, which had served the U.S. archival community for more than two decades.",n/a,n/a,"DACS was designed to be used to create a variety of archival descriptions, including finding aids and catalog records; 
Archival Materials; 
Archival Authority Records.",n/a,n/a,"MARC 2; Encoded Archival Description (EAD); Encoded Archival Context (EAC); Resource Description and Access (RDA); International Council on Archives standards (ICA); International Standard Archival Description—General (ISAD[G]), the International Standard Archival Authority Record for Corporate Bodies, Persons, and Families (ISAAR[CPF]), and the International Standard for Describing Functions (ISDF).",n/a,"038-8;
038-7;","D31000;
D16400",n/a
KOS.SSH.20.1,Describing Archives: A Content Standard (DACS),n/a,Society of American Archivists.,"Chicago : Society of American Archivists, [2013] ©2013","Facilitates consistent, appropriate, and self-explanatory description of archival materials and creators of archival materials.",Print Book; PDF. ,en,KOS.20!A1:A2,http://files.archivists.org/pubs/DACS2E-2013_v0315.pdf,1st Edition,2nd Edition,"Comparison to DACS 2004. Those accustomed to using DACS 2004 will have little difficulty continuing to utilize the revised DACS. DACS is now divided into two parts: Part I, Describing Archival Materials, and Part II, Archival Authority Records. The numbering schema from DACS 2004 has remained unchanged in Part I and a similar numbering schema has been developed for the revised Part II. ",Revised Online March 2015?,n/a,"DACS was designed to be used to create a variety of archival descriptions, including finding aids and catalog records; 
Archival Materials; 
Archival Authority Records.",n/a,n/a,"MARC 2; Encoded Archival Description (EAD); Encoded Archival Context (EAC); Resource Description and Access (RDA); International Council on Archives standards (ICA); International Standard Archival Description—General (ISAD[G]), the International Standard Archival Authority Record for Corporate Bodies, Persons, and Families (ISAAR[CPF]), and the International Standard for Describing Functions (ISDF).",n/a,"038-8;
038-7;","D31000;
D16400",n/a
KOS.SSH.21,Encoded Archival Description (EAD),Daniel Pitti? ,"Society of American Archivists; 
Library of Congress; 
Research Libraries Group (RLG)","Chicago, Ill. : Society of American Archivists, 1999.","Encoded Archival Description (EAD) is an XML standard for encoding archival finding aids, maintained by the Technical Subcommittee for Encoded Archival Standards of the Society of American Archivists, in partnership with the Library of Congress.",Print Book.,en,KOS.21!A1,n/a,n/a,EAD Version 1.0 (1998) ,"EAD originated at the 1993 Society of American Archivists annual meeting in New Orleans and was headed by Daniel Pitti at the University of California, Berkeley.[2] The project's goal was to create a data standard for describing archives, similar to the MARC standards for describing bibliographic materials.",n/a,n/a,Archival Finding Aids?; Archives? ,Computer science; Information Science. ,n/a,n/a,http://bartoc.org/en/node/2037,038-824,"D31000;
D16400",Terminology
KOS.SSH.21.1,Encoded Archival Description DTD (EAD) ,n/a,"Society of American Archivists; 
Library of Congress; 
Research Libraries Group (RLG)",n/a,"Encoded Archival Description (EAD) is an XML standard for encoding archival finding aids, maintained by the Technical Subcommittee for Encoded Archival Standards of the Society of American Archivists, in partnership with the Library of Congress.",Online.,en,n/a,http://www.loc.gov/ead/index.html,EAD Version 1.0 (1998) ,EAD DTD Version 2002,"The 2002 version is the second production release of the EAD DTD. It incorporates a small number of newly-defined elements, deprecates eight previously used elements, and modifies the structure (content model) for a few elements to allow the inclusion of other valid EAD elements at different levels within a finding aid.",n/a,n/a,Archival Finding Aids?; Archives? ,Computer science; Information Science. ,n/a,n/a,http://bartoc.org/en/node/2037,038-824,"D31000;
D16400",Terminology
